images,ocr_results
data/11.jpg,"纯臻营养护发素
产品信息/参数
（45元/每公斤，100公斤起订）
每瓶22元，1000瓶起订）
【品牌】：代加工方式/OEMODM
【品名】：纯臻营养护发素
【产品编号】：YM-X-3011
ODMOEM
【净含量】：220ml
【适用人群】：适合所有肤质
【主要成分】：鲸蜡硬脂醇、燕麦β-葡聚
糖、椰油酰胺丙基甜菜碱、泛醌
（成品包材）
【主要功能】：可紧致头发磷层，从而达到
即时持久改善头发光泽的效果，给干燥的头
发足够的滋养"
data/french_0.jpg,"Mairie du ler
Palais du LOUVRE
LES ARTSDECORATIFS
Musee du LouVRE
Theatre
du PALAIS-ROYAL"
data/00111002.jpg,"CreditCe
中国工商银行
INDOSTRUL ADCOMMERCIAL BANKOHNA
持卡人存根
商户名称&编号（MERCHANTNAME&CODE）
工行浣纱支行积分兑换
120214020408
检索参考号（SYSTEMNO.）
终端号（TERMINAL)
60128018
001
卡号（CARDNUMBER)：
622210512
FS
卡类别（CARDTYPE）
有效期（EXPIRY)
牡丹准贷记卡
交易日期DATE)
交易时间（TME)
2012-10-23
12:43:15
批次号（BATCHNO）
流水号（TRACENO)
000016
积分兑奖
信用卡积分：50000
持卡人姓名（CARDHOLDERNAME）：
MR.
持卡人签名
(CARDHOLDER SIGNATURE):"
data/korean_1.jpg,"0明百
#
#"
data/00207393.jpg,"中国农业银行
AGRICULTURAL BANK OF CHINA
本网点办
理各类金融业务"
data/00015504.jpg,"2.2截至报告期末的普通股股东总数，前十名普通股股东、前十名无限售条件的普通
股股东的持股情况
单位：股
股东总数（户）
75,103
前十名股东持股情况
持有有限售条
质押或冻结情况
股东名称
期末持股数量
比例
件股份数量
股东性质
股份状态
数量
成都交子金融控股集团
有限公司
652,418.000|18.0613%
652,418,000
国有法人
Hong Leong Bank
Berhad
650,000,000|17.9943%
650,000,000
境外法人
渤海产业投资基金管理
240,000,000
6.6441%
240,000,000
境内非国有法人
有限公司
成都工投资产经营有限
公司
180,600,242
4.9997%
0
国有法人
北京能源集团有限责任
公司
160,000,000
4.4294%
160,000,000
国有法人
成都欣天颐投资有限责
任公司
124,194,000
3.4381%
0
国有法人
上海东昌投资发展有限
公司
120,000,000
3.3220%
0
冻结
50.000.000境内非国有法人
新华文轩出版传媒股份
有限公司
80,000,000
2.2147%
国有法人
四川新华发行集团有限
公司
71,243,800
1.9723%
0
国有法人
成都市协成资产管理有
限责任公司
71,154,900
1.9698%
0
国有法人"
data/00006737.jpg,"登机牌
BOARDING
PASS
日期 DATE
舱位CLASS
序号SERIALNO.
座位号SEATNO
航班 FLIGHT
03DEC
W
035
MU 2379
始发地
FROM
登机口
GATE
登机时间BDT
目的地TO
福州
TAIYUAN
G11
FUZHOU
身份识别IDNO
姓名NAME
ZHANGQIWEI
票号TKTNO
张祺伟
票价FARE
ETKT7813699238489/1
登机口于起飞前10分钟关闭GATESCLOSE10MINUTESBEFOREDEPARTURETIME"
data/eng_paper.png,"ACKNOWLEDGEMENTS
We would like to thank all the designers and
contributors who have been involved in the
production of this book;their contributions
have been indispensable to its creation.We
would also like to express our gratitude to all
the producers for their invaluable opinions
and assistance throughout this project.And to
the many others whose names are not credited
but have made specific input in this book, we
thank you for your continuous support."
data/hard1.jpg,"正品促销
大桶装更划算
强力去污符合国标
-40℃深度防冻不结冰
10.0起
10.0起
5.8起
券后价?
惊喜福利不容错过
极速发货
冰点标准
破损就赔
假一赔十"
data/1.jpg,"土地整治与土壤修复研究中心
华南农业大学—东图"
data/00018069.jpg,"代号
项目
结果
参考值
单位
ALT
谷丙转氨酶
25.6
0--40
U/L
TBIL
总胆红素
11.2
<20
umol/L
DBIL
直接胆红素
3.3
0--7
umol/L
IBIL
间接胆红素
7.9
1.5--15
umol/L
TP
总蛋白
689
60--80
g/L
ALB
白蛋白
35.1
33--55
g/L
GLO
球蛋白
23.8
20--30
g/L
A/G
白球比
1.5
1.5--2.5
ALP
碱性磷酸酶
93
15--112
IU/L
GGT
谷氨酰转肽酶
14.3
<50
U/L
AST
谷草转氨酶
16.3
8--40
U/L
LDH
乳酸脱氢酶
167
114--240
U/L
ADA
腺甘脱氨酶
12.6
4--24
U/L"
